Variable,Description
encounter ID,unique identifier of a patient visit
patient number,unique identifier of a patient
race,"values: Caucasian, Asian, African American, Hispanic, and other"
gender,"values: male, female, and unknown/invalid"
age,grouped in 10-year intervals up to 100
weight,patient weight in pounds
admission type,"integer indicating emergency, urgent, elective, newborn, and not available"
discharge disposition,"integer indicating discharged to home, expired, and not available"
admission source,"integer indicating physician referral, emergency room, and transfer from a hospital"
time in hospital,number of days between admission and discharge 
payer code,"integer indicating Blue Cross/Blue Shield, Medicare, and self-pay"
medical specialty,integer indicating specialty of the admitting physician
number of lab procedures,
number of procedures,number of procedures (other than lab tests) performed 
number of medications,number of medications administered during the encounter
number of outpatient visits,for year preceding the encounter
number of emergency visits,for year preceding the encounter
number of inpatient visits,for year preceding the encounter
diagnosis 1,"primary diagnosis, 848 distinct values/codes"
diagnosis 2,"secondary diagnosis, 923 distinct values/codes"
diagnosis 3,"additional secondary diagnosis, 954 distinct values/codes"
number of diagnoses,
glucose serum test result ,indicates the range of the result or if the test was not taken
A1c test result,indicates the range of the result or if the test was not taken
change of medications,dichotomous indicator of change in diabetic medications
diabetes medications,dichotomous indicator of diabetic medication being prescribed
24 features for medications ,"one variable exists for each medication; values indicate increased, decreased, held or no usage"
readmitted,"days to inpatient readmission; ""no"" for no readmission"
